,clf_1,clf_2,p_more,p_less,p_rope
0,EASE,MultiVAE,0.4959,0.5041,0.0
1,EASE,ItemKNN,0.7084,0.2916,0.0
2,EASE,SLIM,0.7453,0.2547,0.0
3,EASE,LightGCN,0.5706,0.4294,0.0
4,EASE,LightGCL,0.4243,0.5757,0.0
5,EASE,ALS,0.6146,0.3854,0.0
6,EASE,BPR,0.7501,0.2499,0.0
7,EASE,LightFM,0.6645,0.3355,0.0
8,EASE,MostPop,0.9347,0.0653,0.0
9,EASE,Random,1.0,0.0,0.0
10,MultiVAE,ItemKNN,0.7341,0.2659,0.0
11,MultiVAE,SLIM,0.6127,0.3873,0.0
12,MultiVAE,LightGCN,0.419,0.581,0.0
13,MultiVAE,LightGCL,0.4873,0.5127,0.0
14,MultiVAE,ALS,0.4797,0.5203,0.0
15,MultiVAE,BPR,0.6481,0.3519,0.0
16,MultiVAE,LightFM,0.5764,0.4236,0.0
17,MultiVAE,MostPop,0.8541,0.1459,0.0
18,MultiVAE,Random,0.9999,0.0001,0.0
19,ItemKNN,SLIM,0.3668,0.6332,0.0
20,ItemKNN,LightGCN,0.3306,0.6694,0.0
21,ItemKNN,LightGCL,0.2919,0.7081,0.0
22,ItemKNN,ALS,0.1049,0.8951,0.0
23,ItemKNN,BPR,0.6443,0.3557,0.0
24,ItemKNN,LightFM,0.14,0.86,0.0
25,ItemKNN,MostPop,0.7331,0.2669,0.0
26,ItemKNN,Random,1.0,0.0,0.0
27,SLIM,LightGCN,0.4152,0.5848,0.0
28,SLIM,LightGCL,0.2942,0.7058,0.0
29,SLIM,ALS,0.5703,0.4297,0.0
30,SLIM,BPR,0.7333,0.2667,0.0
31,SLIM,LightFM,0.5664,0.4336,0.0
32,SLIM,MostPop,0.8584,0.1416,0.0
33,SLIM,Random,1.0,0.0,0.0
34,LightGCN,LightGCL,0.5389,0.4611,0.0
35,LightGCN,ALS,0.6412,0.3588,0.0
36,LightGCN,BPR,0.6863,0.3137,0.0
37,LightGCN,LightFM,0.6236,0.3764,0.0
38,LightGCN,MostPop,0.9155,0.0845,0.0
39,LightGCN,Random,0.9999,0.0001,0.0
40,LightGCL,ALS,0.6065,0.3935,0.0
41,LightGCL,BPR,0.7697,0.2303,0.0
42,LightGCL,LightFM,0.5781,0.4219,0.0
43,LightGCL,MostPop,0.9219,0.0781,0.0
44,LightGCL,Random,1.0,0.0,0.0
45,ALS,BPR,0.9976,0.0024,0.0
46,ALS,LightFM,0.9112,0.0888,0.0
47,ALS,MostPop,0.8257,0.1743,0.0
48,ALS,Random,0.9999,0.0001,0.0
49,BPR,LightFM,0.0082,0.9918,0.0
50,BPR,MostPop,0.7109,0.2891,0.0
51,BPR,Random,1.0,0.0,0.0
52,LightFM,MostPop,0.8028,0.1972,0.0
53,LightFM,Random,1.0,0.0,0.0
54,MostPop,Random,1.0,0.0,0.0
